date,symbol,marketcapname,sector
13-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
13-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
15-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
15-04-2026 11:30:00 AM,BSE,Largecap,Financials
15-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
16-04-2026 11:30:00 AM,VEDL,Largecap,Metals & Mining
16-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
16-04-2026 11:30:00 AM,MCX,Largecap,Financials
16-04-2026 11:30:00 AM,BSE,Largecap,Financials
17-04-2026 11:30:00 AM,VEDL,Largecap,Metals & Mining
17-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
17-04-2026 11:30:00 AM,BSE,Largecap,Financials
17-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
20-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
20-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
21-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
21-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
22-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
22-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
23-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
23-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
24-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
24-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
27-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
27-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
28-04-2026 11:30:00 AM,GLENMARK,Largecap,Healthcare
28-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
28-04-2026 11:30:00 AM,BSE,Largecap,Financials
28-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
29-04-2026 11:30:00 AM,GLENMARK,Largecap,Healthcare
29-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
